Picture: 1-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
5				2.67				2.28				0.4
6				4.17				2.86				1.31
7				1.82				-0.03				1.85
8				-0.65				2.74				-3.38
9				0.7				0.79				-0.09
Picture: 37-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-21.45				-35.99				14.54
2				7.21				-6.51				13.72
3				6.96				31.54				-24.58
4				6.55				2.58				3.97
5				0.19				1.73				-1.55
6				1.03				2.64				-1.61
7				-0.08				-0.12				0.04
8				-0.8				3.28				-4.08
9				0.31				0.76				-0.45
Picture: 38-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-6.61				-9.38				2.77
2				-0.51				2.64				-3.15
3				5.11				4.24				0.86
4				1.49				0.81				0.69
5				0.45				0.95				-0.5
6				0.55				0.21				0.34
7				-0.05				-0.63				0.58
8				-0.23				1.06				-1.29
9				-0.29				0.01				-0.31
Picture: 4-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-30.63				-22.12				-8.51
2				13.33				6.61				6.72
3				6.1				4.03				2.08
4				2.95				1.83				1.12
5				4.25				4.4				-0.15
6				0.13				1.39				-1.26
7				2.51				-0.6				3.11
8				-0.1				3.99				-4.09
9				1.35				0.37				0.98
Picture: 5-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				2.1				-8.08				10.17
2				4.03				-0.33				4.36
3				-0.53				5.73				-6.26
4				-1.32				1.75				-3.07
5				-1.09				1.42				-2.52
6				-0.94				-0.64				-0.3
7				-0.9				-1.42				0.53
8				-0.77				2.42				-3.19
9				-0.66				-0.94				0.27
Picture: 6-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-11.93				-20.61				8.68
2				10.16				8.96				1.2
3				0.48				3.91				-3.43
4				0.22				2.92				-2.7
5				0.46				2.1				-1.63
6				0.22				0.62				-0.4
7				0.19				-0.05				0.25
8				-0.21				1.93				-2.14
9				0.31				0.13				0.18
Picture: 7-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				9.88				-10.72				20.6
2				-3.02				-1.35				-1.67
3				-1.82				7.03				-8.85
4				-1.5				3.56				-5.06
5				-1.17				-0.01				-1.16
6				-0.76				0.78				-1.55
7				-0.66				-0.89				0.23
8				-0.57				1.57				-2.14
9				-0.48				-0.07				-0.41
Picture: 8-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				0.59				-24.17				24.77
2				-0.16				3.68				-3.84
3				0.43				10.49				-10.07
4				-0.61				3.5				-4.11
5				-0.52				1.8				-2.32
6				0.32				1.95				-1.64
7				-0.2				-0.16				-0.04
8				-0.2				1.25				-1.45
9				0.26				1.56				-1.3
Picture: 9-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-10.94				-13.1				2.15
2				14.4				3.93				10.47
3				2.2				6.51				-4.31
4				-0.1				-0.39				0.29
5				-1.47				1.94				-3.4
6				-1.2				0.78				-1.98
7				-1.09				-1.1				0.02
8				-1.13				1.15				-2.28
9				-0.76				0.2				-0.96
Picture: boat-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-1.64				-3.13				1.49
2				1.03				-0.27				1.31
3				0.36				1.14				-0.78
4				0.28				0.45				-0.17
5				0.05				0.42				-0.37
6				-0.01				0.51				-0.52
7				-0.09				0.06				-0.14
8				-0.06				0.39				-0.45
9				-0.02				0.35				-0.37
Picture: cave-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-11.79				-3.91				-7.89
2				1.42				0.69				0.73
3				2.07				0.69				1.37
4				1.91				0.61				1.29
5				1.72				0.57				1.16
6				1.43				0.44				0.99
7				1.16				0.27				0.89
8				1.06				0.3				0.77
9				0.94				0.25				0.68
Picture: field-pure
First Digits	Deviations(pure)	Deviations(stego)	Difference
1				-1.59				-25.97				24.38
2				0.76				5.17				-4.41
3				0.64				11.53				-10.9
4				0.36				-1.93				2.28
5				0.09				5.6				-5.52
6				-0.01				1.16				-1.17
7				-0.05				1.8				-1.86
